Family,Category,Keywords,Styles,Variable Axes,Google Fonts URL
Inter,Sans Serif,modern, clean, versatile, readable,100..900,wght,https://fonts.google.com/specimen/Inter
Roboto,Sans Serif,neutral, professional, comprehensive,100, 300, 400, 500, 700, 900,wght,https://fonts.google.com/specimen/Roboto
Montserrat,Sans Serif,bold, geometric, youthful, modern,100..900,wght,https://fonts.google.com/specimen/Montserrat
Playfair Display,Serif,elegant, classic, high-contrast, editorial,400..900,wght,https://fonts.google.com/specimen/Playfair+Display
Outfit,Sans Serif,geometric, modern, brand-centric, elegant,100..900,wght,https://fonts.google.com/specimen/Outfit
Cormorant Garamond,Serif,luxury, elegant, sophisticated, classic,300..700,wght,https://fonts.google.com/specimen/Cormorant+Garamond
Fira Code,Monospace,programming, technical, clean, code,300..700,wght,https://fonts.google.com/specimen/Fira+Code
Space Grotesk,Sans Serif,tech, modern, quirky, futuristic,300..700,wght,https://fonts.google.com/specimen/Space+Grotesk
Libre Baskerville,Serif,traditional, readable, literary, editorial,400, 400i, 700,,https://fonts.google.com/specimen/Libre+Baskerville
Syne,Sans Serif,artistic, bold, expressive, unique,400..800,wght,https://fonts.google.com/specimen/Syne
